Method, Cyclomatic Complexity
makeTestQueue, 1
testRepeatedNext, 1
removeIf, 1
testRemoveAllViaKeyedIterator, 2
testToArray, 1
testAllPredicateEx2, 1
isProperSubCollection, 1
testAllPredicateEx1, 1
testUnmodifiableBag, 1
testAllPredicateEx6, 1
testAllPredicateEx5, 1
testAllPredicateEx4, 1
testAllPredicateEx3, 1
testAsMapGet_Full, 3
testNestedSixes3, 1
testThrees, 1
testTransformedBag, 1
predicatedMultiSet, 1
testEntrySetRemoveChangesMap, 2
bulkTestSubMap, 1
testInsertBefore, 1
testNestedSixes2, 1
getTestValue, 1
resettableEmptyIterator, 1
visitKeepCommand, 1
isAtFullCapacity, 1
testingBuilder, 1
testExceptionFactory, 1
testOnMaxSize, 3
forEachButLast, 4
toCollection, 1
backwardTest, 2
testNextChangesPrevious, 1
checkValue, 1
floor, 1
testGetFromEnumeration, 1
testJoggingOverBoundary, 1
getDecimalSeparator, 2
testInvokerPredicateEx3, 1
testInvokerPredicateEx2, 1
testBidiSubMapContains, 1
forEach, 1
getColor, 1
testAsIteratorNull, 1
constantTransformer, 2
getImmutableListIterator, 1
createRangeMap, 1
setValue, 2
bulkTestMultiValuedMapEntries, 1
testSetPredicate, 1
testGetOrDefault, 1
isExpired, 2
testLongSerialization, 2
testInvokerPredicateEx1, 1
testMapIteratorRemove, 2
testGetIndexed, 1
testLongestCommonSubsequenceWithString, 1
reversedIterable, 1
testListListIteratorNextRemoveNext, 3
testTransformedSortedBag, 1
testGetLast, 1
testFailingHasNextBug, 2
assertNotCollectionContainsAll, 1
getByte, 1
getHash, 2
transformKey, 1
testCompute, 3
testMapEntrySetIteratorEntry, 2
testContainsAll, 1
nextSmaller, 4
testShadok, 2
isCacheFull, 1
fromNMK, 1
testLinkedListGetFirst, 1
getProbability, 3
isLocked, 1
merge, 1
getBooleanValue, 1
getColumn, 1
testZip, 1
testToStringWithNullArguments, 1
element, 2
fromIndexArray, 2
testRemoveMappingThroughGetIterator, 4
testAddNullListsVarArgs, 1
testForEachPairReturnFalseLate, 1
createDelegateMap, 1
testMod, 1
asIterator, 1
loopingIterable, 2
testDecoratedCollectionIsIndexedOnCreation, 1
testNumberOfBitMaps, 3
getByteValue, 1
difference, 1
testOneTruePredicate, 1
decorateCollection, 1
hashCodeForSet, 3
lowerEntry, 6
testCollections364, 1
testCopyInto, 1
testIteratorConstructorIteration_SimpleNoHasNext, 2
testRemoveRangeEndIndexNegative, 1
testCollections360, 1
testListRemoveByIndexBoundsChecking2, 2
testIteration_RootNoTransformer, 1
testMapGetOrDefault, 5
pop, 2
getSortedBag, 1
testAddAllForElements, 1
makeTestMapWithComparator, 1
testPredicatedBag, 1
testNullConstructor, 1
getPreviousNode, 1
builder, 1
suiteMap, 1
getSampleValues, 1
testUnmodifiableKeys, 1
validate, 1
estimateMaxN, 1
equate, 1
invertMap, 1
subList, 1
isValidUplink, 1
getParent, 1
testMerge, 3
transformedList, 2
testMapGetWithFactory, 1
testAddNullList, 1
assertUnorderedArrayEquals, 4
testAddFail, 1
testMultipleUserIterator, 1
addAll, 1
testRemoveLRUFirstBlocksRemove, 1
testDuplicatListAllSameInDeque, 1
transformingSortedMap, 1
testInternalState_CursorNextNextPreviousAddByIterator, 1
testVerbosePrintNullKey, 1
testCollectionRemoveIf, 2
testBagToArray, 2
forwardTest, 2
testInternalState_getEntry_int, 2
addFirst, 1
setBlack, 1
testNullComparator, 2
createPredicatedBag, 1
createUnderTest, 2
followRight, 3
removeMapping, 1
isDoLoop, 1
expectFalseWhenFixedOrderComparatorIsComparedWithOtherObject, 1
testBagRemoveAll, 2
testMapPutNullValue, 3
testAsIterableForNull, 1
addComparator, 2
testFilteredIterator, 1
testNopClosure, 1
swapPosition, 15
incrementModCount, 1
testClone4, 1
getList, 1
testGetNumber, 2
isEqualCollection, 2
getContents, 1
testCountingSpecificConstructor, 1
testClone2, 1
unmodifiableNavigableSet, 2
swapColors, 1
peekingIterator, 1
checkNodes, 3
testPredicatedList, 1
last, 1
transformValue, 1
reindex, 1
booleanComparator, 1
getSortedSet, 1
testIsSubCollectionOfSelf, 1
testAsIterator, 1
unmodifiableMap, 1
testMapClear, 2
makeEmptyMap, 1
testNullArgumentEqualsNullPredicate, 1
fixed, 1
testGetFromList, 1
doHashCode, 3
testSynchronizedRemoveFromMapIterator, 6
previousPreviousNext, 1
getModifications, 1
descendingSet, 1
synchronizedCollection, 1
testHashCodeNullCollection, 1
testRemoveException, 1
testIterateFibEvenOdd, 1
nextNextPrevious, 1
testLazyTransformerList, 1
testCollectionIteratorRemove, 5
readExternalFormFromBytes, 1
testCollectionContainsAll, 1
broadcastNodeChanged, 3
testPutAll_Map1, 1
testPutAll_Map2, 1
testUnmodifiableAsMap, 1
unmodifiableEntrySet, 2
getInitial, 1
removeByKeySet, 1
createPredicatedSet, 1
start, 3
testQueueOffer, 3
testGetLongBit, 1
getValue, 1
lastIndexOf, 1
setColor, 1
testReturnValues, 1
testCollectionRemoveAll, 2
testGetIterator, 1
isAllowNullValue, 1
testListAddIndexed, 1
testDuplicateSetNoDuplicates, 1
setListIterator, 1
testPutWithSet, 1
transformerPredicate, 1
