Package,Class Name,TCC
org.apache.commons.collections4.trie.AbstractPatriciaTrie.PrefixRangeEntrySet.EntryIterator,EntryIterator,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.PrefixRangeEntrySet.SingletonIterator,SingletonIterator,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.PrefixRangeMap,PrefixRangeMap,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.RangeEntryMap,RangeEntryMap,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.RangeEntrySet,RangeEntrySet,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.RangeEntrySet.EntryIterator,EntryIterator,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.Reference,Reference,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.TrieEntry,TrieEntry,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.TrieMapIterator,TrieMapIterator,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.Values,Values,0.00
org.apache.commons.collections4.trie.AbstractPatriciaTrie.Values.ValueIterator,ValueIterator,0.00
org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator,AbstractMapEntryDecorator,0.00
org.apache.commons.collections4.keyvalue.DefaultKeyValue,DefaultKeyValue,0.00
org.apache.commons.collections4.keyvalue.DefaultMapEntry,DefaultMapEntry,0.00
org.apache.commons.collections4.keyvalue.AbstractMapEntry,AbstractMapEntry,0.00
org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry,UnmodifiableMapEntry,0.00
org.apache.commons.collections4.keyvalue.TiedMapEntry,TiedMapEntry,0.00
org.apache.commons.collections4.keyvalue.MultiKey,MultiKey,0.00
org.apache.commons.collections4.keyvalue.AbstractKeyValue,AbstractKeyValue,0.00
org.apache.commons.collections4.QueueUtils,QueueUtils,0.00
org.apache.commons.collections4.queue.UnmodifiableQueue,UnmodifiableQueue,0.00
org.apache.commons.collections4.queue.TransformedQueue,TransformedQueue,0.00
org.apache.commons.collections4.queue.CircularFifoQueue,CircularFifoQueue,0.00
org.apache.commons.collections4.queue.PredicatedQueue,PredicatedQueue,0.00
org.apache.commons.collections4.queue.SynchronizedQueue,SynchronizedQueue,0.00
org.apache.commons.collections4.queue.AbstractQueueDecorator,AbstractQueueDecorator,0.00
org.apache.commons.collections4.SetUtils,SetUtils,0.00
org.apache.commons.collections4.SetUtils.SetView,SetView,0.00
org.apache.commons.collections4.PredicateUtils,PredicateUtils,0.00
org.apache.commons.collections4.BagUtils,BagUtils,0.00
org.apache.commons.collections4.sequence.InsertCommand,InsertCommand,0.00
org.apache.commons.collections4.sequence.SequencesComparator,SequencesComparator,0.00
org.apache.commons.collections4.sequence.SequencesComparator.Snake,Snake,0.00
org.apache.commons.collections4.sequence.KeepCommand,KeepCommand,0.00
org.apache.commons.collections4.sequence.DeleteCommand,DeleteCommand,0.00
org.apache.commons.collections4.sequence.ReplacementsFinder,ReplacementsFinder,0.00
org.apache.commons.collections4.sequence.EditScript,EditScript,0.00
org.apache.commons.collections4.sequence.EditCommand,EditCommand,0.00
